latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,nearest_industrial_latitude,nearest_industrial_longitude,preliminary_class,nearest_place_km,nearest_place_name,nearest_place_type,in_forest,in_farmland,final_class,place_description
9.85383,77.73679,336.64,0.44,0.46,2026-09-18,750,N20,VIIRS,n,2.0NRT,301.58,8.35,D,29.94650363900197,industrial,Vadapalanji IT SEZ,tn_central,9.9312285,77.9986372,likely_natural,4.269658483341871,Elumalai,village,False,False,agricultural_burn,"Agricultural cropland near Elumalai (village, 4.3 km)"
9.88316,78.21815,330.53,0.41,0.45,2026-09-18,750,N20,VIIRS,n,2.0NRT,298.89,2.19,D,1.9250984965279845,industrial,unnamed,tn_central,9.8688703,78.2082286,likely_industrial,2.2442084416753856,Manalur,village,False,False,industrial_fire,Industrial facility (Industrial facility)
9.95489,79.10921,341.58,0.54,0.42,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.51,7.04,D,29.579230892821556,industrial,unnamed,tn_central,9.7927596,78.895145,likely_natural,0.8830531867685355,Pilluvalasai,village,False,True,agricultural_burn,"Agricultural cropland near Pilluvalasai (village, 0.9 km)"
9.95874,79.10856,340.2,0.54,0.42,2026-09-18,750,N20,VIIRS,n,2.0NRT,300.08,9.6,D,29.786051574717163,industrial,unnamed,tn_central,9.7927596,78.895145,likely_natural,1.2436924872130624,Pilluvalasai,village,False,True,agricultural_burn,"Agricultural cropland near Pilluvalasai (village, 1.2 km)"
10.43074,78.34257,333.9,0.39,0.44,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.67,3.49,D,12.19113220735152,plant,unnamed,tn_central,10.5403629,78.3407513,likely_natural,0.7889970857153432,Silambampatti,village,True,False,wildfire,Forest / Woodland reserve near Silambampatti
10.52222,78.59944,333.55,0.57,0.43,2026-09-18,750,N20,VIIRS,n,2.0NRT,298.55,2.12,D,7.379756811147366,industrial,Valathadippatti,tn_central,10.5787334,78.6348366,likely_natural,0.47758097855327225,Meyakovindanpatti,village,False,False,agricultural_burn,"Agricultural cropland near Meyakovindanpatti (village, 0.5 km)"
10.52314,78.60123,331.68,0.57,0.43,2026-09-18,750,N20,VIIRS,n,2.0NRT,297.86,2.95,D,7.190935315537445,industrial,Valathadippatti,tn_central,10.5787334,78.6348366,likely_natural,0.667335276289918,Meyakovindanpatti,village,False,False,agricultural_burn,"Agricultural cropland near Meyakovindanpatti (village, 0.7 km)"
10.65016,79.35047,335.81,0.51,0.41,2026-09-18,750,N20,VIIRS,n,2.0NRT,300.14,5.09,D,9.161056951148216,industrial,Rice Mill,tn_central,10.5975895,79.4150115,likely_natural,1.3642701700531954,Kattakkudi,village,False,False,agricultural_burn,"Agricultural cropland near Kattakkudi (village, 1.4 km)"
10.73061,77.30718,331.61,0.45,0.47,2026-09-18,750,N20,VIIRS,n,2.0NRT,298.83,2.28,D,17.1056029627127,industrial,Amaravathy Co-Op Sugar Mills (Distillery),cpcb_verified,10.5876,77.2495,likely_natural,1.0640677024819531,Poolavadi,village,False,False,agricultural_burn,"Agricultural cropland near Poolavadi (village, 1.1 km)"
10.84016,79.23045,334.18,0.52,0.41,2026-09-18,750,N20,VIIRS,l,2.0NRT,298.98,11.38,D,13.770300144767868,industrial,Welding Shop,tn_central,10.9423395,79.3017014,likely_natural,1.3920668509048997,Kovathakudi,village,False,True,agricultural_burn,"Agricultural cropland near Kovathakudi (village, 1.4 km)"
10.84071,79.23258,343.1,0.52,0.41,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.01,11.63,D,13.58934172857793,industrial,Welding Shop,tn_central,10.9423395,79.3017014,likely_natural,1.426940053498046,Kovathakudi,village,False,True,agricultural_burn,"Agricultural cropland near Kovathakudi (village, 1.4 km)"
10.85049,78.27798,330.71,0.39,0.44,2026-09-18,750,N20,VIIRS,n,2.0NRT,297.04,2.06,D,3.233521882995402,industrial,unnamed,tn_central,10.8737031,78.2958148,likely_natural,1.3043508003059958,Kannamuthampatty,village,False,False,agricultural_burn,"Agricultural cropland near Kannamuthampatty (village, 1.3 km)"
11.01254,76.9098,337.66,0.48,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,294.04,4.17,D,60.07796180477887,industrial,Amaravathy Co-Op Sugar Mills (Distillery),cpcb_verified,10.5876,77.2495,likely_natural,0.7658211358389223,Veerakeralam,suburb,False,True,agricultural_burn,"Agricultural cropland near Veerakeralam (suburb, 0.8 km)"
11.16329,78.00385,333.61,0.4,0.44,2026-09-18,750,N20,VIIRS,n,2.0NRT,298.15,2.34,D,4.992239997111436,industrial,unnamed,tn_central,11.1211032,78.0195058,likely_natural,1.0377735580380332,Manickanatham,village,False,False,agricultural_burn,"Agricultural cropland near Manickanatham (village, 1.0 km)"
11.8101,77.92343,337.67,0.4,0.44,2026-09-18,752,N20,VIIRS,n,2.0NRT,300.38,4.4,D,13.61486780862158,industrial,Madras Aluminium Company Ltd (MALCO),cpcb_verified,11.788,77.8004,likely_natural,0.860807771082823,Kukkalpatti,village,False,False,agricultural_burn,"Agricultural cropland near Kukkalpatti (village, 0.9 km)"
12.06794,76.77995,337.75,0.47,0.47,2026-09-18,752,N20,VIIRS,n,2.0NRT,298.16,4.96,D,115.30001588280122,industrial,Madras Aluminium Company Ltd (MALCO),cpcb_verified,11.788,77.8004,likely_natural,1.2936532778983307,Devanuru,village,False,False,agricultural_burn,"Agricultural cropland near Devanuru (village, 1.3 km)"
13.39152,80.10026,305.48,0.4,0.37,2026-09-18,2023,N20,VIIRS,n,2.0NRT,287.21,0.62,N,0.9932677786499778,industrial,unnamed,tn_north,13.3871773,80.1082841,likely_industrial,4.033317586948061,Gummidipoondi,town,False,False,industrial_fire,Industrial facility (Industrial facility)
