osm_id,name,place_type,latitude,longitude,district
3337447262,Attagulipura,village,11.8288263,77.0053889,
3337447263,Badagalapura,village,11.8650004,76.8728713,
3337447264,Basavanapura,village,11.9226236,76.9858509,
3337447265,Bettadapura,village,11.9063748,76.7532814,
3337447266,Byadamudlu,village,11.8842895,76.9787662,
3337447267,Chandukattemole,village,11.8940608,76.9671961,
3337447268,Chirakanahalli,village,11.710852,76.8076833,
3337447269,Doddamole,village,11.889555,76.9729331,
3337447270,Hirebeguru,village,11.9791733,76.749126,
3337447272,Kadahalli,village,11.9530867,76.9290103,
3337447273,Kengaki,village,11.8915036,76.7756252,
3337447274,Kodimole,village,11.9314644,76.9857924,
3337447275,Kulagana,village,11.952623,76.7417507,
3337447276,Kunagahalli,village,11.750529,76.597682,
3337447278,Mallayyanapura,village,11.9124681,76.9242773,
3337447279,Mudlapura,village,11.9183523,76.9241172,
3337447280,Mudnakodu,village,11.9336435,76.7754477,
3337447281,Sagade,village,11.910529,76.7780698,
3337447282,Viranapura,village,11.9056491,76.8621805,
3339382220,Bannahalli,village,12.1874785,76.8710027,
3339382221,Belagunda,village,12.1443151,76.7973719,
3339382222,Benakanahalli,village,12.2278305,76.9238367,
3339382223,Chikkabuhalli,village,12.2416161,76.9308261,
3339382224,Doddabagilu,village,12.247598,76.9652665,
3339382225,Hallikerehundi,village,12.1246965,76.8680366,
3339382226,Halavara,village,12.2696978,76.9580152,
3339382227,Horalahalli,village,12.2509612,76.9361515,
3339382228,Kalkunda,village,12.1429552,76.8285043,
3339382229,Kamahalli,village,12.116239,76.838457,
3339382230,Karohatti,village,12.1855397,76.9077927,
3339382231,Ketahalli,village,12.1869943,76.9035242,
3339382232,Naviluru,village,12.1462824,76.8608235,
3339382233,Vyasarajapura,village,12.2566267,76.905728,
3339382234,Hosuru Hundi,village,12.1808636,76.888577,
3340280003,Attahalli,village,12.3186237,76.8874482,
3340280004,Attahalli,village,12.3233891,76.8793733,
3340280005,Bevinahalli,village,12.3068446,76.8843722,
3340280006,Budahalli,village,12.2844248,76.9374957,
3340280007,Chamanahalli,village,12.3395694,76.8811282,
3340280008,Chidaravalli,village,12.3004413,76.9498896,
3340280009,Hosakote,village,12.2409466,76.8491205,
3340280010,Indavalu,village,12.2473869,76.8617502,
