osm_id,region,type,name,latitude,longitude,sipcot_verified,sipcot_sector,cpcb_verified,cpcb_name,cpcb_sector
31257284,tn_north,industrial,All India Radio Station,13.1392008,80.128828,False,,False,,
31723904,tn_north,industrial,TNSTC Bus Depot,12.5026914,80.1531349,False,,False,,
32254408,tn_north,industrial,Tambaram MTC Depot,12.932456,80.121215,False,,False,,
32541372,tn_north,industrial,Bharat Electronics Ltd.,13.02446,80.1928497,False,,False,,
32544980,tn_north,industrial,All India Radio,13.0109515,80.2264746,False,,False,,
32613777,tn_north,industrial,"MTC Bus Depot, KK Nagar",13.0347474,80.2053988,False,,False,,
32686524,tn_north,industrial,unnamed,13.0264659,80.2056649,False,,False,,
32686738,tn_north,industrial,unnamed,13.0137509,80.2016599,False,,False,,
32686766,tn_north,industrial,unnamed,13.0128747,80.2156829,False,,False,,
33016953,tn_north,industrial,International Flavour & Fragrances,13.0093027,80.192279,False,,False,,
33630018,tn_north,industrial,Poonamallee MTC Depot,13.0522938,80.0908077,False,,False,,
33631841,tn_north,industrial,unnamed,13.042142,80.12053,False,,False,,
33744324,tn_north,industrial,Government Civil Supplies Warehouse,13.0314288,80.2428116,False,,False,,
34019466,tn_north,industrial,KK Nagar Pumping Station,13.0417816,80.2031707,False,,False,,
34060137,tn_north,industrial,KK Nagar West MTC Terminus,13.0441885,80.1933418,False,,False,,
34097369,tn_north,industrial,TNEB Site,13.1039325,80.2680966,False,,False,,
34097514,tn_north,industrial,unnamed,13.0917499,80.2679295,False,,False,,
34327606,tn_north,industrial,Southern Railways Printing Press,13.1026208,80.292419,False,,False,,
34327607,tn_north,industrial,IOC Fuel Yard,13.1037376,80.2916809,False,,False,,
34621271,tn_north,industrial,Kolathur Water Works,13.1282922,80.2124125,False,,False,,
35070255,tn_north,industrial,Majestic Studios,13.0493932,80.2004592,False,,False,,
38444699,tn_north,works,unnamed,12.9955031,80.0028694,True,Auto,False,,
39394349,tn_north,industrial,TAFE,13.0580983,80.2553411,False,,False,,
41429068,tn_north,industrial,unnamed,13.0307723,80.0195739,False,,False,,
44034279,tn_north,industrial,balsons,12.9453546,80.1362346,False,,False,,
47415280,tn_north,industrial,Corporation Lorry Depot,13.1047509,80.2749965,False,,False,,
47415297,tn_north,industrial,Government Press,13.104342,80.2792257,False,,False,,
48048706,tn_north,industrial,unnamed,13.1037287,80.2617963,False,,False,,
48048745,tn_north,industrial,unnamed,13.1084645,80.2610532,False,,False,,
48048782,tn_north,industrial,TNEB Site,13.1018093,80.2694169,False,,False,,
48132795,tn_north,industrial,Century Mills,13.1010996,80.247876,False,,False,,
53482205,tn_north,industrial,TVS Group Companies,13.1062596,80.1916901,False,,False,,
64423794,tn_north,industrial,unnamed,12.7452895,79.9963384,False,,False,,
84086831,tn_north,industrial,unnamed,12.9023052,80.022825,False,,False,,
85588694,tn_north,industrial,unnamed,13.0707396,80.0315493,False,,False,,
92071983,tn_north,industrial,unnamed,13.4188286,80.1177181,True,General,True,T.C.P. Limited - Gummidipoondi,Powerplant
92071992,tn_north,industrial,SIPCOT Gummidipundi,13.4143037,80.104668,True,General,True,T.C.P. Limited - Gummidipoondi,Powerplant
93693981,tn_north,industrial,unnamed,13.20325,80.1508896,False,,False,,
95639895,tn_north,industrial,unnamed,13.0443277,80.0582061,False,,False,,
97686666,tn_north,industrial,unnamed,13.1715301,80.3035105,False,,False,,
97686683,tn_north,industrial,unnamed,13.1767665,80.3053382,False,,False,,
98357304,tn_north,industrial,unnamed,12.8611079,80.0712029,False,,False,,
98357611,tn_north,industrial,unnamed,12.9013845,80.1823332,False,,False,,
98366375,tn_north,industrial,Madras Atomic Power Station,12.5570495,80.1723948,False,,False,,
101233633,tn_north,industrial,Bus Parking,13.070512,80.2003907,False,,False,,
102163116,tn_north,industrial,unnamed,13.0389212,80.1636051,False,,False,,
102164751,tn_north,industrial,unnamed,13.0391542,80.1635993,False,,False,,
102459239,tn_north,industrial,TI Cycles Of India,13.1117962,80.1468684,False,,False,,
102459274,tn_north,industrial,unnamed,13.1124208,80.1565831,False,,False,,
102545468,tn_north,industrial,unnamed,13.1293682,80.2838308,False,,False,,
102545478,tn_north,industrial,Korukkupet Goods Shed,13.1190888,80.2702097,False,,False,,
102545479,tn_north,industrial,unnamed,13.1328416,80.2848978,False,,False,,
102546589,tn_north,industrial,North Chennai Thermal Station,13.2489467,80.3277584,False,,False,,
102546591,tn_north,industrial,unnamed,13.2544564,80.3003342,False,,False,,
102553769,tn_north,industrial,unnamed,13.1558839,80.2718507,False,,False,,
102553799,tn_north,industrial,unnamed,13.1888567,80.2673352,False,,False,,
102553846,tn_north,industrial,unnamed,13.1874753,80.2720235,False,,False,,
102553850,tn_north,industrial,unnamed,13.1845254,80.2663366,False,,False,,
102565496,tn_north,industrial,unnamed,13.1784992,80.2749772,False,,False,,
102565503,tn_north,industrial,unnamed,13.2070037,80.2647277,False,,False,,
102565505,tn_north,industrial,CPCL Refinery,13.1741056,80.2749395,False,,False,,
102565509,tn_north,industrial,unnamed,13.1680192,80.2861585,False,,False,,
102575791,tn_north,industrial,unnamed,13.0529809,80.1357624,False,,False,,
102575794,tn_north,industrial,unnamed,13.0540703,80.1194469,False,,False,,
102575798,tn_north,industrial,unnamed,13.0540569,80.1315278,False,,False,,
102575803,tn_north,industrial,unnamed,13.0494773,80.1204185,False,,False,,
102575804,tn_north,industrial,unnamed,13.0556542,80.1414368,False,,False,,
102577038,tn_north,industrial,unnamed,13.0373444,80.0416542,False,,False,,
102577042,tn_north,industrial,unnamed,13.0546976,80.094813,False,,False,,
102577044,tn_north,industrial,unnamed,13.0415029,80.0615913,False,,False,,
102577050,tn_north,industrial,unnamed,13.0581202,80.0983303,False,,False,,
102577053,tn_north,industrial,unnamed,13.0592895,80.1081887,False,,False,,
102577055,tn_north,industrial,unnamed,13.0558263,80.1081619,False,,False,,
102577056,tn_north,industrial,unnamed,13.0576706,80.0962459,False,,False,,
102577057,tn_north,industrial,unnamed,13.041764,80.062983,False,,False,,
102577059,tn_north,industrial,unnamed,13.0551963,80.0986365,False,,False,,
102577062,tn_north,industrial,unnamed,13.058321,80.1006187,False,,False,,
102577585,tn_north,industrial,unnamed,13.0327927,80.050764,False,,False,,
102580568,tn_north,industrial,IITM Research Park,12.9908454,80.2427657,False,,False,,
102591607,tn_north,industrial,Tondiarpet Diesel Loco Shed,13.1331854,80.2819076,False,,False,,
102663584,tn_north,industrial,unnamed,13.1583274,80.2652729,False,,False,,
102663615,tn_north,industrial,unnamed,13.1754936,80.2598091,False,,False,,
102664278,tn_north,industrial,unnamed,13.1751037,80.1972059,False,,False,,
102664280,tn_north,industrial,unnamed,13.151624,80.2204354,False,,False,,
102664281,tn_north,industrial,unnamed,13.1430968,80.2174011,False,,False,,
102664283,tn_north,industrial,unnamed,13.1472209,80.2264593,False,,False,,
102664285,tn_north,industrial,unnamed,13.1505702,80.2077778,False,,False,,
102664286,tn_north,industrial,unnamed,13.1271056,80.2371456,False,,False,,
102664287,tn_north,industrial,unnamed,13.1486124,80.2079084,False,,False,,
102664288,tn_north,industrial,unnamed,13.1768457,80.1953523,False,,False,,
102664290,tn_north,industrial,unnamed,13.1527666,80.2061462,False,,False,,
102664291,tn_north,industrial,unnamed,13.1549684,80.207232,False,,False,,
102664292,tn_north,industrial,unnamed,13.1413395,80.2225558,False,,False,,
102667266,tn_north,industrial,unnamed,13.0693718,80.2033527,False,,False,,
103427918,tn_north,industrial,unnamed,13.5382445,80.0045303,False,,False,,
122063529,tn_north,industrial,unnamed,13.0261109,80.1719707,False,,False,,
122063608,tn_north,industrial,unnamed,13.0383274,80.1757718,False,,False,,
122063610,tn_north,industrial,unnamed,13.035386,80.1757195,False,,False,,
122063611,tn_north,industrial,unnamed,13.0249169,80.17533,False,,False,,
125180610,tn_north,industrial,Iyyapanthangal MTC Depot,13.0372598,80.1347966,False,,False,,
125180634,tn_north,industrial,Tondiarpet-II MTC Depot,13.1342454,80.2907674,False,,False,,
125180638,tn_north,industrial,Vyasarpadi MTC Depot,13.1201826,80.2585688,False,,False,,
125180701,tn_north,industrial,unnamed,13.1354214,80.230306,False,,False,,
125180704,tn_north,industrial,unnamed,13.1674607,80.2256714,False,,False,,
125180709,tn_north,industrial,unnamed,13.1425798,80.2675039,False,,False,,
125180712,tn_north,industrial,unnamed,13.1522865,80.2284391,False,,False,,
